age_band,gender,region,income,occupation_group,weight
18–29,Male,Quebec,$50k–$100k,Sales & office,10374
18–29,Male,Quebec,$50k–$100k,Service,40385
18–29,Male,Quebec,$50k–$100k,Trades & natural resources,32789
18–29,Male,Quebec,$50k–$100k,Unemployed,14894
18–29,Male,Quebec,Over $100k,Management & professional,49832
18–29,Male,Quebec,Over $100k,Not in labour force,52648
18–29,Male,Quebec,Over $100k,Production & transport,22193
18–29,Male,Quebec,Over $100k,Sales & office,17043
18–29,Male,Quebec,Over $100k,Service,69728
18–29,Male,Quebec,Over $100k,Trades & natural resources,49573
18–29,Male,Quebec,Over $100k,Unemployed,20118
18–29,Male,Quebec,Under $50k,Management & professional,17673
18–29,Male,Quebec,Under $50k,Not in labour force,27084
18–29,Male,Quebec,Under $50k,Production & transport,8410
18–29,Male,Quebec,Under $50k,Sales & office,5780
18–29,Male,Quebec,Under $50k,Service,22786
18–29,Male,Quebec,Under $50k,Trades & natural resources,11708
18–29,Male,Quebec,Under $50k,Unemployed,12523
18–29,Male,Territories,$50k–$100k,Management & professional,74
18–29,Male,Territories,$50k–$100k,Not in labour force,665
18–29,Male,Territories,$50k–$100k,Production & transport,74
18–29,Male,Territories,$50k–$100k,Sales & office,37
18–29,Male,Territories,$50k–$100k,Service,222
18–29,Male,Territories,$50k–$100k,Trades & natural resources,37
18–29,Male,Territories,$50k–$100k,Unemployed,148
18–29,Male,Territories,Over $100k,Management & professional,222
18–29,Male,Territories,Over $100k,Not in labour force,1921
18–29,Male,Territories,Over $100k,Production & transport,296
18–29,Male,Territories,Over $100k,Service,776
18–29,Male,Territories,Over $100k,Trades & natural resources,554
18–29,Male,Territories,Over $100k,Unemployed,628
18–29,Male,Territories,Under $50k,Management & professional,37
18–29,Male,Territories,Under $50k,Not in labour force,443
18–29,Male,Territories,Under $50k,Production & transport,37
18–29,Male,Territories,Under $50k,Trades & natural resources,37
18–29,Male,Territories,Under $50k,Unemployed,74
30–44,Female,Atlantic,$50k–$100k,Management & professional,17110
30–44,Female,Atlantic,$50k–$100k,Not in labour force,13037
30–44,Female,Atlantic,$50k–$100k,Production & transport,1334
30–44,Female,Atlantic,$50k–$100k,Sales & office,9444
30–44,Female,Atlantic,$50k–$100k,Service,22257
30–44,Female,Atlantic,$50k–$100k,Trades & natural resources,593
30–44,Female,Atlantic,$50k–$100k,Unemployed,7297
30–44,Female,Atlantic,Over $100k,Management & professional,50443
30–44,Female,Atlantic,Over $100k,Not in labour force,9778
30–44,Female,Atlantic,Over $100k,Production & transport,1407
30–44,Female,Atlantic,Over $100k,Sales & office,14405
30–44,Female,Atlantic,Over $100k,Service,19110
30–44,Female,Atlantic,Over $100k,Trades & natural resources,1037
30–44,Female,Atlantic,Over $100k,Unemployed,6112
30–44,Female,Atlantic,Under $50k,Management & professional,3111
30–44,Female,Atlantic,Under $50k,Not in labour force,11037
30–44,Female,Atlantic,Under $50k,Production & transport,481
30–44,Female,Atlantic,Under $50k,Sales & office,3111
30–44,Female,Atlantic,Under $50k,Service,8925
30–44,Female,Atlantic,Under $50k,Trades & natural resources,259
30–44,Female,Atlantic,Under $50k,Unemployed,4037
30–44,Female,British Columbia,$50k–$100k,Management & professional,36555
30–44,Female,British Columbia,$50k–$100k,Not in labour force,28814
30–44,Female,British Columbia,$50k–$100k,Production & transport,3185
30–44,Female,British Columbia,$50k–$100k,Sales & office,21296
30–44,Female,British Columbia,$50k–$100k,Service,37221
30–44,Female,British Columbia,$50k–$100k,Trades & natural resources,2296
30–44,Female,British Columbia,$50k–$100k,Unemployed,10852
30–44,Female,British Columbia,Over $100k,Management & professional,129849
30–44,Female,British Columbia,Over $100k,Not in labour force,43036
30–44,Female,British Columbia,Over $100k,Production & transport,6444
30–44,Female,British Columbia,Over $100k,Sales & office,45444
30–44,Female,British Columbia,Over $100k,Service,62888
30–44,Female,British Columbia,Over $100k,Trades & natural resources,4704
30–44,Female,British Columbia,Over $100k,Unemployed,14518
30–44,Female,British Columbia,Under $50k,Management & professional,10778
30–44,Female,British Columbia,Under $50k,Not in labour force,22037
30–44,Female,British Columbia,Under $50k,Production & transport,1000
30–44,Female,British Columbia,Under $50k,Sales & office,6667
30–44,Female,British Columbia,Under $50k,Service,15815
30–44,Female,British Columbia,Under $50k,Trades & natural resources,815
30–44,Female,British Columbia,Under $50k,Unemployed,6741
30–44,Female,Ontario,$50k–$100k,Management & professional,96891
30–44,Female,Ontario,$50k–$100k,Not in labour force,106002
30–44,Female,Ontario,$50k–$100k,Production & transport,13037
30–44,Female,Ontario,$50k–$100k,Sales & office,49890
30–44,Female,Ontario,$50k–$100k,Service,91261
30–44,Female,Ontario,$50k–$100k,Trades & natural resources,4408
30–44,Female,Ontario,$50k–$100k,Unemployed,47112
30–44,Female,Ontario,Over $100k,Management & professional,391046
30–44,Female,Ontario,Over $100k,Not in labour force,118558
30–44,Female,Ontario,Over $100k,Production & transport,18334
30–44,Female,Ontario,Over $100k,Sales & office,112817
30–44,Female,Ontario,Over $100k,Service,143374
30–44,Female,Ontario,Over $100k,Trades & natural resources,6408
30–44,Female,Ontario,Over $100k,Unemployed,55742
30–44,Female,Ontario,Under $50k,Management & professional,22963
30–44,Female,Ontario,Under $50k,Not in labour force,59964
30–44,Female,Ontario,Under $50k,Production & transport,2667
30–44,Female,Ontario,Under $50k,Sales & office,12000
30–44,Female,Ontario,Under $50k,Service,29482
30–44,Female,Ontario,Under $50k,Trades & natural resources,1593
30–44,Female,Ontario,Under $50k,Unemployed,24482
30–44,Female,Prairies,$50k–$100k,Management & professional,43833
30–44,Female,Prairies,$50k–$100k,Not in labour force,52274
30–44,Female,Prairies,$50k–$100k,Production & transport,4849
30–44,Female,Prairies,$50k–$100k,Sales & office,28544
30–44,Female,Prairies,$50k–$100k,Service,55275
30–44,Female,Prairies,$50k–$100k,Trades & natural resources,3184
30–44,Female,Prairies,$50k–$100k,Unemployed,18695
30–44,Female,Prairies,Over $100k,Management & professional,176626
30–44,Female,Prairies,Over $100k,Not in labour force,61415
30–44,Female,Prairies,Over $100k,Production & transport,7810
30–44,Female,Prairies,Over $100k,Sales & office,64638
30–44,Female,Prairies,Over $100k,Service,88553
30–44,Female,Prairies,Over $100k,Trades & natural resources,6960
30–44,Female,Prairies,Over $100k,Unemployed,25394
30–44,Female,Prairies,Under $50k,Management & professional,10070
30–44,Female,Prairies,Under $50k,Not in labour force,28397
30–44,Female,Prairies,Under $50k,Production & transport,1222
30–44,Female,Prairies,Under $50k,Sales & office,6183
30–44,Female,Prairies,Under $50k,Service,18771
30–44,Female,Prairies,Under $50k,Trades & natural resources,1185
30–44,Female,Prairies,Under $50k,Unemployed,10366
30–44,Female,Quebec,$50k–$100k,Management & professional,76990
30–44,Female,Quebec,$50k–$100k,Not in labour force,47350
30–44,Female,Quebec,$50k–$100k,Production & transport,7262
30–44,Female,Quebec,$50k–$100k,Sales & office,38569
30–44,Female,Quebec,$50k–$100k,Service,76360
30–44,Female,Quebec,$50k–$100k,Trades & natural resources,4817
30–44,Female,Quebec,$50k–$100k,Unemployed,17525
30–44,Female,Quebec,Over $100k,Management & professional,232897
30–44,Female,Quebec,Over $100k,Not in labour force,34605
30–44,Female,Quebec,Over $100k,Production & transport,7595
30–44,Female,Quebec,Over $100k,Sales & office,69172
30–44,Female,Quebec,Over $100k,Service,89439
30–44,Female,Quebec,Over $100k,Trades & natural resources,4261
30–44,Female,Quebec,Over $100k,Unemployed,12782
30–44,Female,Quebec,Under $50k,Management & professional,20415
30–44,Female,Quebec,Under $50k,Not in labour force,32715
30–44,Female,Quebec,Under $50k,Production & transport,2816
30–44,Female,Quebec,Under $50k,Sales & office,10411
30–44,Female,Quebec,Under $50k,Service,27751
30–44,Female,Quebec,Under $50k,Trades & natural resources,1556
30–44,Female,Quebec,Under $50k,Unemployed,10559
30–44,Female,Territories,$50k–$100k,Management & professional,296
30–44,Female,Territories,$50k–$100k,Not in labour force,850
30–44,Female,Territories,$50k–$100k,Sales & office,185
30–44,Female,Territories,$50k–$100k,Service,591
30–44,Female,Territories,$50k–$100k,Trades & natural resources,37
30–44,Female,Territories,$50k–$100k,Unemployed,222
30–44,Female,Territories,Over $100k,Management & professional,2882
30–44,Female,Territories,Over $100k,Not in labour force,1219
30–44,Female,Territories,Over $100k,Sales & office,1589
30–44,Female,Territories,Over $100k,Service,1256
30–44,Female,Territories,Over $100k,Unemployed,296
30–44,Female,Territories,Under $50k,Not in labour force,443
30–44,Female,Territories,Under $50k,Sales & office,74
30–44,Female,Territories,Under $50k,Service,148
30–44,Female,Territories,Under $50k,Unemployed,74
30–44,Male,Atlantic,$50k–$100k,Management & professional,14332
30–44,Male,Atlantic,$50k–$100k,Not in labour force,9073
30–44,Male,Atlantic,$50k–$100k,Production & transport,7037
30–44,Male,Atlantic,$50k–$100k,Sales & office,3074
30–44,Male,Atlantic,$50k–$100k,Service,10296
30–44,Male,Atlantic,$50k–$100k,Trades & natural resources,14922
30–44,Male,Atlantic,$50k–$100k,Unemployed,8001
30–44,Male,Atlantic,Over $100k,Management & professional,40703
30–44,Male,Atlantic,Over $100k,Not in labour force,6408
30–44,Male,Atlantic,Over $100k,Production & transport,7665
30–44,Male,Atlantic,Over $100k,Sales & office,4704
30–44,Male,Atlantic,Over $100k,Service,13000
30–44,Male,Atlantic,Over $100k,Trades & natural resources,22369
30–44,Male,Atlantic,Over $100k,Unemployed,6038
30–44,Male,Atlantic,Under $50k,Management & professional,3185
30–44,Male,Atlantic,Under $50k,Not in labour force,7482
30–44,Male,Atlantic,Under $50k,Production & transport,2074
30–44,Male,Atlantic,Under $50k,Sales & office,630
30–44,Male,Atlantic,Under $50k,Service,3704
30–44,Male,Atlantic,Under $50k,Trades & natural resources,3926
30–44,Male,Atlantic,Under $50k,Unemployed,4852
30–44,Male,British Columbia,$50k–$100k,Management & professional,37925
30–44,Male,British Columbia,$50k–$100k,Not in labour force,14296
30–44,Male,British Columbia,$50k–$100k,Production & transport,13185
30–44,Male,British Columbia,$50k–$100k,Sales & office,9222
30–44,Male,British Columbia,$50k–$100k,Service,20037
30–44,Male,British Columbia,$50k–$100k,Trades & natural resources,28333
30–44,Male,British Columbia,$50k–$100k,Unemployed,10148
30–44,Male,British Columbia,Over $100k,Management & professional,131220
30–44,Male,British Columbia,Over $100k,Not in labour force,18185
30–44,Male,British Columbia,Over $100k,Production & transport,26629
30–44,Male,British Columbia,Over $100k,Sales & office,17000
30–44,Male,British Columbia,Over $100k,Service,32110
30–44,Male,British Columbia,Over $100k,Trades & natural resources,68628
30–44,Male,British Columbia,Over $100k,Unemployed,11222
30–44,Male,British Columbia,Under $50k,Management & professional,13259
30–44,Male,British Columbia,Under $50k,Not in labour force,12629
30–44,Male,British Columbia,Under $50k,Production & transport,4259
30–44,Male,British Columbia,Under $50k,Sales & office,2704
30–44,Male,British Columbia,Under $50k,Service,8148
30–44,Male,British Columbia,Under $50k,Trades & natural resources,7667
30–44,Male,British Columbia,Under $50k,Unemployed,7111
30–44,Male,Ontario,$50k–$100k,Management & professional,105002
30–44,Male,Ontario,$50k–$100k,Not in labour force,49705
30–44,Male,Ontario,$50k–$100k,Production & transport,46483
30–44,Male,Ontario,$50k–$100k,Sales & office,24482
30–44,Male,Ontario,$50k–$100k,Service,40853
30–44,Male,Ontario,$50k–$100k,Trades & natural resources,65853
30–44,Male,Ontario,$50k–$100k,Unemployed,38149
30–44,Male,Ontario,Over $100k,Management & professional,385268
30–44,Male,Ontario,Over $100k,Not in labour force,51334
30–44,Male,Ontario,Over $100k,Production & transport,76076
30–44,Male,Ontario,Over $100k,Sales & office,50223
30–44,Male,Ontario,Over $100k,Service,86187
30–44,Male,Ontario,Over $100k,Trades & natural resources,141040
30–44,Male,Ontario,Over $100k,Unemployed,40519
30–44,Male,Ontario,Under $50k,Management & professional,28519
30–44,Male,Ontario,Under $50k,Not in labour force,40149
30–44,Male,Ontario,Under $50k,Production & transport,12148
30–44,Male,Ontario,Under $50k,Sales & office,6556
30–44,Male,Ontario,Under $50k,Service,15482
30–44,Male,Ontario,Under $50k,Trades & natural resources,17074
30–44,Male,Ontario,Under $50k,Unemployed,20741
30–44,Male,Prairies,$50k–$100k,Management & professional,46685
30–44,Male,Prairies,$50k–$100k,Not in labour force,21437
30–44,Male,Prairies,$50k–$100k,Production & transport,22435
30–44,Male,Prairies,$50k–$100k,Sales & office,12920
30–44,Male,Prairies,$50k–$100k,Service,26396
30–44,Male,Prairies,$50k–$100k,Trades & natural resources,49017
30–44,Male,Prairies,$50k–$100k,Unemployed,19361
30–44,Male,Prairies,Over $100k,Management & professional,170627
30–44,Male,Prairies,Over $100k,Not in labour force,24285
30–44,Male,Prairies,Over $100k,Production & transport,40686
30–44,Male,Prairies,Over $100k,Sales & office,21989
30–44,Male,Prairies,Over $100k,Service,44462
30–44,Male,Prairies,Over $100k,Trades & natural resources,109472
30–44,Male,Prairies,Over $100k,Unemployed,21619
30–44,Male,Prairies,Under $50k,Management & professional,13069
30–44,Male,Prairies,Under $50k,Not in labour force,15847
30–44,Male,Prairies,Under $50k,Production & transport,6257
30–44,Male,Prairies,Under $50k,Sales & office,3332
30–44,Male,Prairies,Under $50k,Service,8627
30–44,Male,Prairies,Under $50k,Trades & natural resources,10774
30–44,Male,Prairies,Under $50k,Unemployed,10995
30–44,Male,Quebec,$50k–$100k,Management & professional,81770
30–44,Male,Quebec,$50k–$100k,Not in labour force,26602
30–44,Male,Quebec,$50k–$100k,Production & transport,30863
30–44,Male,Quebec,$50k–$100k,Sales & office,18896
30–44,Male,Quebec,$50k–$100k,Service,37865
30–44,Male,Quebec,$50k–$100k,Trades & natural resources,56575
30–44,Male,Quebec,$50k–$100k,Unemployed,17302
30–44,Male,Quebec,Over $100k,Management & professional,203146
30–44,Male,Quebec,Over $100k,Not in labour force,14524
30–44,Male,Quebec,Over $100k,Production & transport,33790
30–44,Male,Quebec,Over $100k,Sales & office,26639
30–44,Male,Quebec,Over $100k,Service,47869
30–44,Male,Quebec,Over $100k,Trades & natural resources,90736
30–44,Male,Quebec,Over $100k,Unemployed,11078
30–44,Male,Quebec,Under $50k,Management & professional,23675
30–44,Male,Quebec,Under $50k,Not in labour force,26194
30–44,Male,Quebec,Under $50k,Production & transport,11856
30–44,Male,Quebec,Under $50k,Sales & office,6706
30–44,Male,Quebec,Under $50k,Service,17747
30–44,Male,Quebec,Under $50k,Trades & natural resources,16969
30–44,Male,Quebec,Under $50k,Unemployed,13857
30–44,Male,Territories,$50k–$100k,Management & professional,185
30–44,Male,Territories,$50k–$100k,Not in labour force,628
30–44,Male,Territories,$50k–$100k,Production & transport,111
30–44,Male,Territories,$50k–$100k,Sales & office,111
30–44,Male,Territories,$50k–$100k,Service,74
30–44,Male,Territories,$50k–$100k,Trades & natural resources,333
30–44,Male,Territories,$50k–$100k,Unemployed,333
30–44,Male,Territories,Over $100k,Management & professional,1847
30–44,Male,Territories,Over $100k,Not in labour force,1404
30–44,Male,Territories,Over $100k,Production & transport,222
30–44,Male,Territories,Over $100k,Sales & office,222
30–44,Male,Territories,Over $100k,Service,850
30–44,Male,Territories,Over $100k,Trades & natural resources,1773
30–44,Male,Territories,Over $100k,Unemployed,369
30–44,Male,Territories,Under $50k,Not in labour force,333
30–44,Male,Territories,Under $50k,Service,74
30–44,Male,Territories,Under $50k,Trades & natural resources,111
30–44,Male,Territories,Under $50k,Unemployed,111
45–59,Female,Atlantic,$50k–$100k,Management & professional,12333
45–59,Female,Atlantic,$50k–$100k,Not in labour force,21186
45–59,Female,Atlantic,$50k–$100k,Production & transport,2371
45–59,Female,Atlantic,$50k–$100k,Sales & office,11740
45–59,Female,Atlantic,$50k–$100k,Service,23037
45–59,Female,Atlantic,$50k–$100k,Trades & natural resources,1111
45–59,Female,Atlantic,$50k–$100k,Unemployed,8186
45–59,Female,Atlantic,Over $100k,Management & professional,50255
45–59,Female,Atlantic,Over $100k,Not in labour force,19594
45–59,Female,Atlantic,Over $100k,Production & transport,1852
45–59,Female,Atlantic,Over $100k,Sales & office,23738
45–59,Female,Atlantic,Over $100k,Service,24407
45–59,Female,Atlantic,Over $100k,Trades & natural resources,1778
45–59,Female,Atlantic,Over $100k,Unemployed,5741
