age_band,gender,region,income,occupation_group,weight
30–44,Female,South,Under $50k,Production & transport,190441
30–44,Female,South,Under $50k,Sales & office,566056
30–44,Female,South,Under $50k,Service,590851
30–44,Female,South,Under $50k,Unemployed,198442
30–44,Female,West,$50k–$100k,Construction & maintenance,33517
30–44,Female,West,$50k–$100k,Management & professional,644812
30–44,Female,West,$50k–$100k,Military,2227
30–44,Female,West,$50k–$100k,Not in labor force,492808
30–44,Female,West,$50k–$100k,Production & transport,113623
30–44,Female,West,$50k–$100k,Sales & office,401777
30–44,Female,West,$50k–$100k,Service,334831
30–44,Female,West,$50k–$100k,Unemployed,73409
30–44,Female,West,Over $100k,Construction & maintenance,34774
30–44,Female,West,Over $100k,Management & professional,2488334
30–44,Female,West,Over $100k,Military,6425
30–44,Female,West,Over $100k,Not in labor force,700738
30–44,Female,West,Over $100k,Production & transport,150984
30–44,Female,West,Over $100k,Sales & office,758612
30–44,Female,West,Over $100k,Service,439481
30–44,Female,West,Over $100k,Unemployed,103156
30–44,Female,West,Under $50k,Construction & maintenance,22274
30–44,Female,West,Under $50k,Management & professional,221381
30–44,Female,West,Under $50k,Military,586
30–44,Female,West,Under $50k,Not in labor force,545515
30–44,Female,West,Under $50k,Production & transport,77191
30–44,Female,West,Under $50k,Sales & office,203709
30–44,Female,West,Under $50k,Service,249897
30–44,Female,West,Under $50k,Unemployed,101473
30–44,Male,Midwest,$50k–$100k,Construction & maintenance,329247
30–44,Male,Midwest,$50k–$100k,Management & professional,578207
30–44,Male,Midwest,$50k–$100k,Military,9103
30–44,Male,Midwest,$50k–$100k,Not in labor force,146220
30–44,Male,Midwest,$50k–$100k,Production & transport,489058
30–44,Male,Midwest,$50k–$100k,Sales & office,225509
30–44,Male,Midwest,$50k–$100k,Service,208995
30–44,Male,Midwest,$50k–$100k,Unemployed,65832
30–44,Male,Midwest,Over $100k,Construction & maintenance,424915
30–44,Male,Midwest,Over $100k,Management & professional,1727717
30–44,Male,Midwest,Over $100k,Military,9276
30–44,Male,Midwest,Over $100k,Not in labor force,112506
30–44,Male,Midwest,Over $100k,Production & transport,463235
30–44,Male,Midwest,Over $100k,Sales & office,396017
30–44,Male,Midwest,Over $100k,Service,229739
30–44,Male,Midwest,Over $100k,Unemployed,47998
30–44,Male,Midwest,Under $50k,Construction & maintenance,138703
30–44,Male,Midwest,Under $50k,Management & professional,169689
30–44,Male,Midwest,Under $50k,Military,1925
30–44,Male,Midwest,Under $50k,Not in labor force,272788
30–44,Male,Midwest,Under $50k,Production & transport,242488
30–44,Male,Midwest,Under $50k,Sales & office,99491
30–44,Male,Midwest,Under $50k,Service,145947
30–44,Male,Midwest,Under $50k,Unemployed,90052
30–44,Male,Northeast,$50k–$100k,Construction & maintenance,209337
30–44,Male,Northeast,$50k–$100k,Management & professional,400690
30–44,Male,Northeast,$50k–$100k,Military,3768
30–44,Male,Northeast,$50k–$100k,Not in labor force,109538
30–44,Male,Northeast,$50k–$100k,Production & transport,252101
30–44,Male,Northeast,$50k–$100k,Sales & office,161320
30–44,Male,Northeast,$50k–$100k,Service,190121
30–44,Male,Northeast,$50k–$100k,Unemployed,55847
30–44,Male,Northeast,Over $100k,Construction & maintenance,349922
30–44,Male,Northeast,Over $100k,Management & professional,1763971
30–44,Male,Northeast,Over $100k,Military,7585
30–44,Male,Northeast,Over $100k,Not in labor force,126831
30–44,Male,Northeast,Over $100k,Production & transport,328719
30–44,Male,Northeast,Over $100k,Sales & office,392455
30–44,Male,Northeast,Over $100k,Service,323666
30–44,Male,Northeast,Over $100k,Unemployed,69508
30–44,Male,Northeast,Under $50k,Construction & maintenance,103896
30–44,Male,Northeast,Under $50k,Management & professional,100564
30–44,Male,Northeast,Under $50k,Military,1028
30–44,Male,Northeast,Under $50k,Not in labor force,212071
30–44,Male,Northeast,Under $50k,Production & transport,114040
30–44,Male,Northeast,Under $50k,Sales & office,76610
30–44,Male,Northeast,Under $50k,Service,128089
30–44,Male,Northeast,Under $50k,Unemployed,76516
30–44,Male,South,$50k–$100k,Construction & maintenance,741797
30–44,Male,South,$50k–$100k,Management & professional,1039257
30–44,Male,South,$50k–$100k,Military,37953
30–44,Male,South,$50k–$100k,Not in labor force,324536
30–44,Male,South,$50k–$100k,Production & transport,774520
30–44,Male,South,$50k–$100k,Sales & office,443970
30–44,Male,South,$50k–$100k,Service,469150
30–44,Male,South,$50k–$100k,Unemployed,114252
30–44,Male,South,Over $100k,Construction & maintenance,717846
30–44,Male,South,Over $100k,Management & professional,3189669
30–44,Male,South,Over $100k,Military,58279
30–44,Male,South,Over $100k,Not in labor force,267383
30–44,Male,South,Over $100k,Production & transport,736490
30–44,Male,South,Over $100k,Sales & office,746156
30–44,Male,South,Over $100k,Service,497124
30–44,Male,South,Over $100k,Unemployed,100698
30–44,Male,South,Under $50k,Construction & maintenance,435360
30–44,Male,South,Under $50k,Management & professional,306216
30–44,Male,South,Under $50k,Military,8277
30–44,Male,South,Under $50k,Not in labor force,582841
30–44,Male,South,Under $50k,Production & transport,409606
30–44,Male,South,Under $50k,Sales & office,218925
30–44,Male,South,Under $50k,Service,321120
30–44,Male,South,Under $50k,Unemployed,163872
30–44,Male,West,$50k–$100k,Construction & maintenance,412257
30–44,Male,West,$50k–$100k,Management & professional,584827
30–44,Male,West,$50k–$100k,Military,19625
30–44,Male,West,$50k–$100k,Not in labor force,189587
30–44,Male,West,$50k–$100k,Production & transport,367547
30–44,Male,West,$50k–$100k,Sales & office,260942
30–44,Male,West,$50k–$100k,Service,287943
30–44,Male,West,$50k–$100k,Unemployed,88523
30–44,Male,West,Over $100k,Construction & maintenance,571663
30–44,Male,West,Over $100k,Management & professional,2542427
30–44,Male,West,Over $100k,Military,35614
30–44,Male,West,Over $100k,Not in labor force,237341
30–44,Male,West,Over $100k,Production & transport,517968
30–44,Male,West,Over $100k,Sales & office,573288
30–44,Male,West,Over $100k,Service,447062
30–44,Male,West,Over $100k,Unemployed,107957
30–44,Male,West,Under $50k,Construction & maintenance,189937
30–44,Male,West,Under $50k,Management & professional,164030
30–44,Male,West,Under $50k,Military,6926
30–44,Male,West,Under $50k,Not in labor force,281068
30–44,Male,West,Under $50k,Production & transport,176171
30–44,Male,West,Under $50k,Sales & office,117935
30–44,Male,West,Under $50k,Service,184673
30–44,Male,West,Under $50k,Unemployed,98651
45–59,Female,Midwest,$50k–$100k,Construction & maintenance,12950
45–59,Female,Midwest,$50k–$100k,Management & professional,497892
45–59,Female,Midwest,$50k–$100k,Military,54
45–59,Female,Midwest,$50k–$100k,Not in labor force,354302
45–59,Female,Midwest,$50k–$100k,Production & transport,149777
45–59,Female,Midwest,$50k–$100k,Sales & office,366077
45–59,Female,Midwest,$50k–$100k,Service,216176
45–59,Female,Midwest,$50k–$100k,Unemployed,30141
45–59,Female,Midwest,Over $100k,Construction & maintenance,15326
45–59,Female,Midwest,Over $100k,Management & professional,1697736
45–59,Female,Midwest,Over $100k,Military,213
45–59,Female,Midwest,Over $100k,Not in labor force,455189
45–59,Female,Midwest,Over $100k,Production & transport,157134
45–59,Female,Midwest,Over $100k,Sales & office,621310
45–59,Female,Midwest,Over $100k,Service,240974
45–59,Female,Midwest,Over $100k,Unemployed,32054
45–59,Female,Midwest,Under $50k,Construction & maintenance,8243
45–59,Female,Midwest,Under $50k,Management & professional,148963
45–59,Female,Midwest,Under $50k,Not in labor force,528017
45–59,Female,Midwest,Under $50k,Production & transport,99200
45–59,Female,Midwest,Under $50k,Sales & office,207651
45–59,Female,Midwest,Under $50k,Service,200677
45–59,Female,Midwest,Under $50k,Unemployed,52398
45–59,Female,Northeast,$50k–$100k,Construction & maintenance,6723
45–59,Female,Northeast,$50k–$100k,Management & professional,348641
45–59,Female,Northeast,$50k–$100k,Not in labor force,256086
45–59,Female,Northeast,$50k–$100k,Production & transport,87915
45–59,Female,Northeast,$50k–$100k,Sales & office,253215
45–59,Female,Northeast,$50k–$100k,Service,233759
45–59,Female,Northeast,$50k–$100k,Unemployed,29018
45–59,Female,Northeast,Over $100k,Construction & maintenance,10570
45–59,Female,Northeast,Over $100k,Management & professional,1678142
45–59,Female,Northeast,Over $100k,Military,243
45–59,Female,Northeast,Over $100k,Not in labor force,449114
45–59,Female,Northeast,Over $100k,Production & transport,110042
45–59,Female,Northeast,Over $100k,Sales & office,544401
45–59,Female,Northeast,Over $100k,Service,300652
45–59,Female,Northeast,Over $100k,Unemployed,50707
45–59,Female,Northeast,Under $50k,Construction & maintenance,2891
45–59,Female,Northeast,Under $50k,Management & professional,120248
45–59,Female,Northeast,Under $50k,Not in labor force,440519
45–59,Female,Northeast,Under $50k,Production & transport,49625
45–59,Female,Northeast,Under $50k,Sales & office,129918
45–59,Female,Northeast,Under $50k,Service,214014
45–59,Female,Northeast,Under $50k,Unemployed,50586
45–59,Female,South,$50k–$100k,Construction & maintenance,29445
45–59,Female,South,$50k–$100k,Management & professional,1008362
45–59,Female,South,$50k–$100k,Military,748
45–59,Female,South,$50k–$100k,Not in labor force,792066
45–59,Female,South,$50k–$100k,Production & transport,222428
45–59,Female,South,$50k–$100k,Sales & office,691850
45–59,Female,South,$50k–$100k,Service,478917
45–59,Female,South,$50k–$100k,Unemployed,68814
45–59,Female,South,Over $100k,Construction & maintenance,34688
45–59,Female,South,Over $100k,Management & professional,2992505
45–59,Female,South,Over $100k,Military,2860
45–59,Female,South,Over $100k,Not in labor force,1040019
45–59,Female,South,Over $100k,Production & transport,215294
45–59,Female,South,Over $100k,Sales & office,1111655
45–59,Female,South,Over $100k,Service,460319
45–59,Female,South,Over $100k,Unemployed,87758
45–59,Female,South,Under $50k,Construction & maintenance,18388
45–59,Female,South,Under $50k,Management & professional,335828
45–59,Female,South,Under $50k,Military,93
45–59,Female,South,Under $50k,Not in labor force,1221379
45–59,Female,South,Under $50k,Production & transport,167694
45–59,Female,South,Under $50k,Sales & office,402180
45–59,Female,South,Under $50k,Service,486521
45–59,Female,South,Under $50k,Unemployed,109466
45–59,Female,West,$50k–$100k,Construction & maintenance,20546
45–59,Female,West,$50k–$100k,Management & professional,428158
45–59,Female,West,$50k–$100k,Military,143
45–59,Female,West,$50k–$100k,Not in labor force,428386
45–59,Female,West,$50k–$100k,Production & transport,112871
45–59,Female,West,$50k–$100k,Sales & office,313136
45–59,Female,West,$50k–$100k,Service,299346
45–59,Female,West,$50k–$100k,Unemployed,45580
45–59,Female,West,Over $100k,Construction & maintenance,28468
45–59,Female,West,Over $100k,Management & professional,1913667
45–59,Female,West,Over $100k,Military,617
45–59,Female,West,Over $100k,Not in labor force,767981
45–59,Female,West,Over $100k,Production & transport,174447
45–59,Female,West,Over $100k,Sales & office,719197
45–59,Female,West,Over $100k,Service,416402
45–59,Female,West,Over $100k,Unemployed,71956
45–59,Female,West,Under $50k,Construction & maintenance,14357
45–59,Female,West,Under $50k,Management & professional,146669
45–59,Female,West,Under $50k,Military,151
45–59,Female,West,Under $50k,Not in labor force,555280
45–59,Female,West,Under $50k,Production & transport,55843
45–59,Female,West,Under $50k,Sales & office,144254
45–59,Female,West,Under $50k,Service,217465
45–59,Female,West,Under $50k,Unemployed,67601
45–59,Male,Midwest,$50k–$100k,Construction & maintenance,264506
45–59,Male,Midwest,$50k–$100k,Management & professional,333189
45–59,Male,Midwest,$50k–$100k,Military,669
45–59,Male,Midwest,$50k–$100k,Not in labor force,203334
45–59,Male,Midwest,$50k–$100k,Production & transport,431116
45–59,Male,Midwest,$50k–$100k,Sales & office,164557
45–59,Male,Midwest,$50k–$100k,Service,143952
45–59,Male,Midwest,$50k–$100k,Unemployed,38974
45–59,Male,Midwest,Over $100k,Construction & maintenance,421676
45–59,Male,Midwest,Over $100k,Management & professional,1627360
45–59,Male,Midwest,Over $100k,Military,4280
45–59,Male,Midwest,Over $100k,Not in labor force,165882
45–59,Male,Midwest,Over $100k,Production & transport,525078
45–59,Male,Midwest,Over $100k,Sales & office,394747
45–59,Male,Midwest,Over $100k,Service,213561
45–59,Male,Midwest,Over $100k,Unemployed,38223
45–59,Male,Midwest,Under $50k,Construction & maintenance,105411
45–59,Male,Midwest,Under $50k,Management & professional,97421
45–59,Male,Midwest,Under $50k,Not in labor force,410896
45–59,Male,Midwest,Under $50k,Production & transport,188579
45–59,Male,Midwest,Under $50k,Sales & office,69501
45–59,Male,Midwest,Under $50k,Service,119026
45–59,Male,Midwest,Under $50k,Unemployed,65129
45–59,Male,Northeast,$50k–$100k,Construction & maintenance,171604
45–59,Male,Northeast,$50k–$100k,Management & professional,226447
45–59,Male,Northeast,$50k–$100k,Military,626
45–59,Male,Northeast,$50k–$100k,Not in labor force,144975
45–59,Male,Northeast,$50k–$100k,Production & transport,245612
45–59,Male,Northeast,$50k–$100k,Sales & office,131734
45–59,Male,Northeast,$50k–$100k,Service,148197
45–59,Male,Northeast,$50k–$100k,Unemployed,37477
45–59,Male,Northeast,Over $100k,Construction & maintenance,364872
45–59,Male,Northeast,Over $100k,Management & professional,1582159
45–59,Male,Northeast,Over $100k,Military,3032
45–59,Male,Northeast,Over $100k,Not in labor force,190573
45–59,Male,Northeast,Over $100k,Production & transport,380135
45–59,Male,Northeast,Over $100k,Sales & office,369576
45–59,Male,Northeast,Over $100k,Service,283870
45–59,Male,Northeast,Over $100k,Unemployed,50660
45–59,Male,Northeast,Under $50k,Construction & maintenance,71153
45–59,Male,Northeast,Under $50k,Management & professional,68483
45–59,Male,Northeast,Under $50k,Not in labor force,307930
45–59,Male,Northeast,Under $50k,Production & transport,121835
45–59,Male,Northeast,Under $50k,Sales & office,58299
45–59,Male,Northeast,Under $50k,Service,108260
45–59,Male,Northeast,Under $50k,Unemployed,53622
45–59,Male,South,$50k–$100k,Construction & maintenance,556178
45–59,Male,South,$50k–$100k,Management & professional,652017
45–59,Male,South,$50k–$100k,Military,2934
45–59,Male,South,$50k–$100k,Not in labor force,416637
45–59,Male,South,$50k–$100k,Production & transport,675333
45–59,Male,South,$50k–$100k,Sales & office,309494
45–59,Male,South,$50k–$100k,Service,305116
45–59,Male,South,$50k–$100k,Unemployed,70984
45–59,Male,South,Over $100k,Construction & maintenance,654450
45–59,Male,South,Over $100k,Management & professional,3069395
45–59,Male,South,Over $100k,Military,18995
45–59,Male,South,Over $100k,Not in labor force,361873
